Name,Date/ Time,MVP,"Pitch Number ",Score,Stage
G-A: Dhunthari v Fire Nation 🔥 (9:20PM),"October 17, 2025 8:00 PM (GMT+5)",,Pitch 2,0 - 0,Pitch 2 Group Stage
G-B: Avatars vs JustDisc League (8:55PM),"October 17, 2025 8:30 PM (GMT+5)",,Pitch 2,0 - 0,Pitch 2 Group Stage
G-B: Anemone vs FRISBEASTS (8:55PM),"October 17, 2025 8:30 PM (GMT+5)",,Pitch 1,0 - 0,Pitch 1 Group Stage
G-A: The Airbenders v Fire Nation 🔥 (8:30PM),"October 17, 2025 9:00 PM (GMT+5)",,Pitch 2,0 - 0,Pitch 2 Group Stage
G-B: Avatars vs Anemone (9:45PM),"October 17, 2025 9:30 PM (GMT+5)",,Pitch 2,0 - 0,Pitch 2 Group Stage
G-B: JustDisc League vs FRISBEASTS (9:45PM),"October 17, 2025 9:30 PM (GMT+5)",,Pitch 1,0 - 0,Pitch 1 Group Stage
G-A: TEG v Fire Nation (10:10PM),"October 17, 2025 10:00 PM (GMT+5)",,Pitch 1,0 - 0,Pitch 1 Group Stage
G-A: The Airbenders v Dhunthari (10:10PM),"October 17, 2025 10:00 PM (GMT+5)",,Pitch 2,0 - 0,Pitch 2 Group Stage
G-B: Avatars vs FRISBEASTS  (10:35PM),"October 17, 2025 8:30 PM (GMT+5)",,Pitch 2,0 - 0,Pitch 2 Group Stage
G-B: JustDisc League vs Anemone (10:35PM),"October 17, 2025 10:30 PM (GMT+5)",,Pitch 1,0 - 0,Pitch 1 Group Stage
G-A: TEG v The Airbenders (9:20PM),"October 17, 2025 8:00 PM (GMT+5)",,Pitch 1,0 - 0,Pitch 1 Group Stage
SF 1: A1 v B2 (8:10PM),"October 18, 2025 8:30 PM (GMT+5)",,Pitch 1,0 - 0,Semi Final
SF 2: B1 v A2 (8:10PM),"October 18, 2025 8:30 PM (GMT+5)",,Pitch 2,0 - 0,Semi Final
Final Match (9:00PM),"October 17, 2025 9:00 PM (GMT+5)",,Pitch 1,0 - 0,Final
