Name,Score,Stage,MVP,"Pitch Number "
G-A: Dodo 🦤 vs Disc-Oh!,0 - 0,Group Stage,,"Pitch 1, 8:00 PM - 8:20 PM"
G-A: Thunderstorm vs TBD,0 - 0,Group Stage,,"Pitch 2, 8:00 PM - 8:20 PM"
G-B: Fire Nation vs UFO,0 - 0,Group Stage,,"Pitch 3, 8:00 PM - 8:20 PM"
G-A: Dodo 🦤 vs Thunderstorm,0 - 0,Group Stage,,"Pitch 1, 8:30 PM - 8:50 PM"
G-A: Disc-Oh! vs TBD,0 - 0,Group Stage,,"Pitch 2, 8:30 PM - 8:50 PM"
G-B: UFO vs Frizz Bees,0 - 0,Group Stage,,"Pitch 3, 8:30 PM - 8:50 PM"
G-A: Dodo 🦤 vs TBD,0 - 0,Group Stage,,"Pitch 1, 9:00 PM - 9:20 PM"
"G-A: Disc-Oh! vs Thunderstorm ",0 - 0,Group Stage,,"Pitch 2, 9:00 PM - 9:20 PM"
G-B: Fire Nation vs Frizz Bees,0 - 0,Group Stage,,"Pitch 3, 9:00 PM - 9:20 PM"
Group A1 v Group B2,0 - 0,Semi Final,,"Pitch 3, 9:30 PM - 9:50 PM"
Group A2 v Group B1,0 - 0,Semi Final,,"Pitch 1, 9:30 PM - 9:50 PM"
Group A1 v Group B1,0 - 0,Final,,"Pitch 2, 10:00 PM - 10:30 PM"
