Name,MVP,"Pitch Number ",Score,Stage
Group A2 v Group B1,,"Pitch 1, 9:30 PM - 9:50 PM",0 - 0,Semi Final
G-A: Disc-Oh! vs TBD,,"Pitch 2, 8:30 PM - 8:50 PM",0 - 0,Group Stage
G-B: UFO vs Frizz Bees,,"Pitch 3, 8:30 PM - 8:50 PM",0 - 0,Group Stage
G-B: Fire Nation vs Frizz Bees,,"Pitch 3, 9:00 PM - 9:20 PM",0 - 0,Group Stage
G-A: Dodo 🦤 vs Disc-Oh!,,"Pitch 1, 8:00 PM - 8:20 PM",0 - 0,Group Stage
G-A: Thunderstorm vs TBD,,"Pitch 2, 8:00 PM - 8:20 PM",0 - 0,Group Stage
G-B: Fire Nation vs UFO,,"Pitch 3, 8:00 PM - 8:20 PM",0 - 0,Group Stage
Group A1 v Group B2,,"Pitch 3, 9:30 PM - 9:50 PM",0 - 0,Semi Final
Group A1 v Group B1,,"Pitch 2, 10:00 PM - 10:30 PM",0 - 0,Final
G-A: Dodo 🦤 vs Thunderstorm,,"Pitch 1, 8:30 PM - 8:50 PM",0 - 0,Group Stage
G-A: Dodo 🦤 vs TBD,,"Pitch 1, 9:00 PM - 9:20 PM",0 - 0,Group Stage
"G-A: Disc-Oh! vs Thunderstorm ",,"Pitch 2, 9:00 PM - 9:20 PM",0 - 0,Group Stage
